Institution Name,Country Code,Country/Territory,Continent,Size Classification,Focus Classification,Research Classification,Age Band,Status,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Citations per Faculty Score,International Faculty Score,International Students Score,International Research Network Score,Employment Outcomes Score,Overall Score,Type
Université Paris-Saclay,FR,France,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,New (Less than 10 years old),A,57.2,99.2,99.7,49.5,43.7,59.1,97.1,7.8,68.1,Private
Universiti Malaya (UM),MY,Malaysia,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,79.6,94.9,67.8,39.4,43.6,53.0,91.8,41.9,67.9,Private
Pohang University of Science And Technology (POSTECH),KR,South Korea,Asia,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),B,47.4,69.4,100.0,98.0,34.7,2.9,30.9,54.8,67.7,Public
University of Texas at Austin,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,93.7,85.2,9.8,90.9,7.6,10.8,90.9,71.1,67.4,Private
Yonsei University,KR,South Korea,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),B,75.5,95.5,88.6,28.4,19.4,51.3,63.5,68.8,67.0,Public
Korea University,KR,South Korea,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),B,79.3,93.9,86.1,29.5,14.7,32.9,63.1,71.8,66.9,Public
Lomonosov Moscow State University,RU,Russia,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,80.5,77.0,99.8,5.3,19.2,91.9,87.5,91.2,66.8,Private
KU Leuven,BE,Belgium,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,83.8,53.0,7.7,92.7,91.9,43.3,99.1,44.8,66.0,Private
National Taiwan University (NTU),TW,Taiwan,Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,92.3,92.6,33.4,49.7,19.0,32.6,75.0,96.7,65.7,Private
University of Southampton,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,50.7,56.6,63.3,82.7,96.1,93.8,96.7,42.8,65.0,Private
Tohoku University,JP,Japan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,71.8,78.1,98.6,34.2,14.1,16.4,66.8,18.7,64.9,Private
University of Washington,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,84.8,48.6,10.8,100.0,32.5,36.0,97.6,84.1,64.7,Private
University of Glasgow,UK,United Kingdom,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,75.1,75.1,50.5,34.7,95.5,98.9,94.7,29.4,64.6,Private
University of Copenhagen,DK,Denmark,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,72.8,36.6,100.0,26.0,91.3,24.5,99.1,58.2,64.1,Private
University of Wisconsin-Madison,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,82.4,48.1,70.6,41.9,37.7,23.8,93.2,84.6,63.7,Private
University of Zurich,CH,Switzerland,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,58.0,39.2,93.3,49.3,100.0,55.5,93.5,77.8,63.7,Private
University of Illinois at Urbana-Champaign,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,85.6,60.9,9.5,88.7,20.3,46.4,92.2,70.0,63.6,Private
University of Leeds,UK,United Kingdom,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,70.2,78.4,41.6,47.8,86.3,86.5,97.8,42.9,62.8,Private
The University of Auckland,NZ,New Zealand,Oceania,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,81.5,48.3,22.4,54.1,99.9,92.4,87.2,79.2,62.7,Private
Georgia Institute of Technology,US,United States,North America,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,67.7,77.0,11.1,95.5,62.9,54.8,78.5,63.5,62.3,Private
KTH Royal Institute of Technology ,SE,Sweden,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,45.8,58.2,70.0,76.4,97.1,70.2,89.9,81.4,62.1,Private
The University of Western Australia,AU,Australia,Oceania,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,55.6,49.9,21.8,98.9,100.0,99.9,98.2,65.0,61.7,Private
University of Birmingham,UK,United Kingdom,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,66.0,74.7,44.1,45.9,91.0,87.4,95.1,37.6,61.1,Private
Durham University,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,57.9,89.2,31.0,65.7,97.2,87.2,89.1,43.6,60.9,Private
Pennsylvania State University,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,76.7,69.8,32.6,67.7,25.3,31.0,96.8,44.8,60.8,Private
University of Science and Technology of China,CN,China (Mainland),Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,51.6,12.4,86.6,99.9,18.7,5.7,67.0,37.6,60.7,Private
Lund University,SE,Sweden,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,68.8,50.9,51.3,41.4,95.8,76.6,97.6,64.9,60.1,Private
The University of Sheffield,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,58.7,53.5,59.4,46.9,85.3,97.8,94.7,33.7,59.5,Private
University of St Andrews,UK,United Kingdom,Europe,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,46.2,67.6,61.1,58.9,98.8,99.7,83.4,44.1,59.5,Private
"Trinity College Dublin, The University of Dublin",IE,Ireland,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,67.9,48.2,25.7,60.2,99.8,93.3,87.3,97.9,59.1,Private
Sungkyunkwan University(SKKU),KR,South Korea,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,60.2,72.7,83.9,37.8,18.9,38.7,58.8,33.9,58.9,Public
Rice University,US,United States,North America,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,38.8,26.1,69.5,86.7,90.0,92.6,57.2,70.7,58.8,Public
University of Oslo,NO,Norway,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,54.9,14.5,83.8,62.7,86.2,27.5,97.9,65.7,58.7,Private
"University of California, Davis",US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,64.8,51.0,27.1,68.7,84.7,70.2,90.2,25.0,58.2,Private
"University of North Carolina, Chapel Hill",US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,65.5,44.7,80.4,46.6,27.2,10.0,90.0,67.4,58.2,Private
Technical University of Denmark,DK,Denmark,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,30.9,23.4,100.0,70.8,100.0,77.2,91.2,68.3,58.0,Private
Universidad Nacional Autónoma de México (UNAM),MX,Mexico,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,96.0,95.1,43.2,2.9,9.3,2.6,91.3,61.5,58.0,
King Abdulaziz University (KAU),SA,Saudi Arabia,Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,48.4,70.7,66.3,50.6,99.0,54.3,93.4,10.5,57.8,Private
University of Helsinki,FI,Finland,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,65.3,44.6,66.5,49.8,67.9,5.8,95.2,62.5,57.8,Private
Boston University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,62.3,57.2,40.4,61.6,33.7,83.3,86.9,80.5,57.2,Public
The University of Adelaide,AU,Australia,Oceania,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,52.3,35.2,17.2,94.5,99.8,99.8,93.1,40.2,57.0,Private
University of Alberta,CA,Canada,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,55.1,48.9,51.5,53.9,95.3,76.9,96.1,41.0,56.9,Private
École Normale Supérieure de Lyon,FR,France,Europe,"Small (Fewer than 5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,31.8,12.6,94.3,96.4,66.0,17.4,70.1,44.3,56.6,Private
Nagoya University,JP,Japan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,59.8,54.3,90.6,33.9,15.8,20.0,66.5,35.1,56.3,Private
Utrecht University,NL,Netherlands,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,65.8,26.6,35.1,79.6,58.3,23.1,94.7,42.5,56.3,Private
University of Nottingham,UK,United Kingdom,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,59.0,75.3,36.9,45.2,90.3,76.7,98.1,32.5,56.2,Private
